gpu_name = gh200
#Entity   GRACT        SMACT        SMOCC        DRAMA        FP64A        FP32A        FP16A        INTAC        TENSO        TDFMA        
ID                                                                                                                                          
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 0     0.000        0.000        0.000        0.008        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 0     0.001        0.000        0.000        0.008        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        
#Entity   GRACT        SMACT        SMOCC        DRAMA        FP64A        FP32A        FP16A        INTAC        TENSO        TDFMA        
ID                                                                                                                                          
GPU 0     0.000        0.000        0.000        0.000        0.001        0.000        0.000        0.000        0.000        0.000        
GPU 0     0.103        0.095        0.054        0.068        0.001        0.000        0.000        0.074        0.001        0.000        
GPU 0     0.122        0.114        0.065        0.073        0.001        0.000        0.000        0.088        0.001        0.000        
GPU 0     0.122        0.114        0.065        0.073        0.001        0.000        0.000        0.088        0.001        0.000        
GPU 0     0.124        0.115        0.066        0.074        0.000        0.000        0.000        0.090        0.001        0.000        
GPU 0     0.023        0.021        0.012        0.013        0.000        0.000        0.000        0.016        0.000        0.000        
GPU 0     0.027        0.025        0.014        0.016        0.001        0.000        0.000        0.019        0.000        0.000        
GPU 0     0.122        0.114        0.065        0.073        0.001        0.000        0.000        0.088        0.001        0.000        
GPU 0     0.124        0.115        0.066        0.074        0.001        0.000        0.000        0.089        0.001        0.000        
GPU 0     0.123        0.114        0.065        0.073        0.001        0.000        0.000        0.088        0.001        0.000        
GPU 0     0.099        0.092        0.052        0.059        0.000        0.000        0.000        0.071        0.001        0.000        
GPU 0     0.000        0.000        0.000        0.000        0.001        0.000        0.000        0.000        0.000        0.000        
GPU 0     0.075        0.069        0.039        0.044        0.001        0.000        0.000        0.054        0.001        0.000        
GPU 0     0.124        0.115        0.066        0.074        N/A          0.000        0.000        0.089        0.001        0.000        
#Entity   GRACT        SMACT        SMOCC        DRAMA        FP64A        FP32A        FP16A        INTAC        TENSO        TDFMA        
ID                                                                                                                                          
GPU 0     N/A          N/A          N/A          N/A          0.001        N/A          N/A          N/A          N/A          N/A          
GPU 0     0.123        0.114        0.065        0.073        0.001        0.000        0.000        0.088        0.001        0.000        
GPU 0     0.123        0.114        0.065        0.073        0.001        0.000        0.000        0.088        0.001        0.000        
GPU 0     0.051        0.047        0.027        0.030        0.000        0.000        0.000        0.037        0.001        0.000        
GPU 0     0.000        0.000        0.000        0.000        0.001        0.000        0.000        0.000        0.000        0.000        
GPU 0     0.113        0.104        0.060        0.067        0.001        0.000        0.000        0.081        0.001        0.000        
GPU 0     0.122        0.114        0.065        0.073        0.001        0.000        0.000        0.088        0.001        0.000        
GPU 0     0.122        0.114        0.065        0.073        0.001        0.000        0.000        0.088        0.001        0.000        
GPU 0     0.122        0.114        0.065        0.073        0.000        0.000        0.000        0.088        0.001        0.000        
GPU 0     0.014        0.013        0.008        0.008        0.000        0.000        0.000        0.010        0.000        0.000        
GPU 0     0.033        0.031        0.018        0.020        0.001        0.000        0.000        0.024        0.000        0.000        
GPU 0     0.123        0.114        0.065        0.073        0.001        0.000        0.000        0.088        0.001        0.000        
GPU 0     0.122        0.114        0.065        0.073        0.001        0.000        0.000        0.088        0.001        0.000        
