gpu_name = a100
#Entity    SMCLK        GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        PCITX                       PCIRX                       FBFRE             
ID                                                                                                                                                                              
GPU 0      1410         0.079        0.000        0.000        0.000        0.068        0.000        139932840                   39365078                    70484             
GPU 0      1410         0.000        0.000        0.000        0.000        0.000        0.000        679965                      320975                      70484             
GPU 0      1410         0.000        0.000        0.000        0.000        0.000        0.000        677661                      321012                      70484             
#Entity    SMCLK        GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        PCITX                       PCIRX                       FBFRE             
ID                                                                                                                                                                              
GPU 0      1410         0.000        0.000        0.000        0.000        0.000        0.000        717429                      326067                      70484             
GPU 0      1410         0.000        0.000        0.000        0.000        0.000        0.000        712875                      337667                      66386             
GPU 0      1410         0.228        0.000        0.000        0.000        0.183        0.000        5923768                     9722428                     66378             
GPU 0      1410         0.912        0.000        0.000        0.000        0.264        0.000        1107241                     755066                      66378             
GPU 0      1410         0.912        0.000        0.000        0.000        0.264        0.000        1107241                     755066                      66378             
GPU 0      1410         1.000        1.000        0.125        0.997        0.322        0.000        1099329                     563487                      66378             
GPU 0      1395         1.000        0.000        0.000        0.000        0.342        0.000        8940450                     4483963                     66378             
GPU 0      1395         0.996        1.000        0.125        0.997        0.318        0.000        3211973                     2190024                     66378             
GPU 0      1410         1.000        1.000        0.125        0.997        0.216        0.000        778296                      377599                      66378             
GPU 0      1410         1.000        0.000        0.000        0.000        0.223        0.000        727434                      349016                      66378             
GPU 0      1410         1.000        1.000        0.125        0.997        0.222        0.000        748567                      348572                      66378             
GPU 0      1410         1.000        1.000        0.125        0.997        0.222        0.000        748567                      348572                      66378             
GPU 0      1410         1.000        1.000        0.125        0.997        0.177        0.000        971117                      456009                      66378             
GPU 0      1410         1.000        0.000        0.000        0.000        0.172        0.000        752981                      327156                      66378             
#Entity    SMCLK        GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        PCITX                       PCIRX                       FBFRE             
ID                                                                                                                                                                              
GPU 0      1410         1.000        1.000        0.125        0.997        0.175        0.000        947860                      424990                      66378             
GPU 0      1410         1.000        1.000        0.125        0.997        0.175        0.000        947860                      424990                      66378             
GPU 0      1395         1.000        1.000        0.125        0.997        0.187        0.000        900512                      455156                      66378             
GPU 0      1410         0.983        1.000        0.125        0.997        0.136        0.000        1229234                     573840                      66378             
GPU 0      1410         1.000        1.000        0.125        0.997        0.171        0.000        1433082                     685159                      66378             
GPU 0      1395         1.000        1.000        0.125        0.997        0.171        0.000        1433082                     685159                      66378             
GPU 0      1395         0.997        1.000        0.125        0.997        0.245        0.000        861079                      461399                      66378             
GPU 0      1395         0.997        1.000        0.125        0.997        0.245        0.000        861079                      461399                      66378             
GPU 0      1410         1.000        1.000        0.125        0.997        0.155        0.000        993073                      518921                      66378             
GPU 0      1410         1.000        1.000        0.125        0.997        0.174        0.000        3234178                     1934062                     66378             
GPU 0      1410         1.000        1.000        0.125        0.997        0.174        0.000        3234178                     1934062                     66378             
GPU 0      1410         0.995        0.980        0.122        0.977        0.181        0.000        885023                      437396                      66378             
GPU 0      1395         1.000        0.000        0.000        0.000        0.156        0.000        410851                      217439                      66378             
GPU 0      1395         1.000        0.000        0.000        0.000        0.156        0.000        410851                      217439                      66378             
#Entity    SMCLK        GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        PCITX                       PCIRX                       FBFRE             
ID                                                                                                                                                                              
GPU 0      1395         1.000        1.000        0.125        0.997        0.186        0.000        874179                      381785                      66378             
GPU 0      1395         1.000        1.000        0.125        0.997        0.210        0.000        1019860                     540792                      66378             
GPU 0      1395         0.999        1.000        0.125        0.997        0.228        0.000        959685                      475431                      66378             
GPU 0      1395         0.999        1.000        0.125        0.997        0.228        0.000        959685                      475431                      66378             
GPU 0      1395         1.000        0.000        0.000        0.000        0.256        0.000        946538                      449574                      66378             
GPU 0      1395         1.000        1.000        0.125        0.997        0.264        0.000        1071846                     530244                      66378             
GPU 0      1395         1.000        1.000        0.125        0.997        0.266        0.000        862183                      415630                      66378             
GPU 0      1410         1.000        0.000        0.000        0.000        0.197        0.000        1104095                     479295                      66378             
GPU 0      1395         1.000        1.000        0.125        0.997        0.172        0.000        1040491                     553436                      66378             
GPU 0      1395         1.000        1.000        0.125        0.997        0.172        0.000        1040491                     553436                      66378             
GPU 0      1395         1.000        1.000        0.125        0.997        0.227        0.000        8576472                     4296810                     66378             
GPU 0      1395         0.997        0.000        0.000        0.000        0.229        0.000        648855                      277235                      66378             
GPU 0      1410         1.000        1.000        0.125        0.997        0.164        0.000        843808                      369953                      66378             
GPU 0      1395         1.000        1.000        0.125        0.997        0.264        0.000        758702                      347169                      66378             
#Entity    SMCLK        GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        PCITX                       PCIRX                       FBFRE             
ID                                                                                                                                                                              
